Ligand,Docking_Energy,rmsd/ub,RMSD_lb,Source_File
199_uff_e=50.33_out,-3.9,0.0,0.0,ligand 1.csv
199_uff_e=50.33_out,-3.8,3.409,1.385,ligand 1.csv
199_uff_e=50.33_out,-3.8,3.108,1.854,ligand 1.csv
199_uff_e=50.33_out,-3.6,4.089,2.089,ligand 1.csv
199_uff_e=50.33_out,-3.6,3.196,2.186,ligand 1.csv
199_uff_e=50.33_out,-3.6,3.579,1.975,ligand 1.csv
199_uff_e=50.33_out,-3.5,19.283,18.35,ligand 1.csv
199_uff_e=50.33_out,-3.5,3.006,2.095,ligand 1.csv
199_uff_e=50.33_out,-3.5,22.373,21.516,ligand 1.csv
264_uff_e=17.52_out,-3.8,0.0,0.0,ligand 1.csv
264_uff_e=17.52_out,-3.4,3.971,3.185,ligand 1.csv
264_uff_e=17.52_out,-3.3,18.816,18.235,ligand 1.csv
264_uff_e=17.52_out,-3.3,18.247,18.071,ligand 1.csv
264_uff_e=17.52_out,-3.3,18.404,18.283,ligand 1.csv
264_uff_e=17.52_out,-3.1,10.389,9.571,ligand 1.csv
264_uff_e=17.52_out,-3.1,16.379,15.889,ligand 1.csv
264_uff_e=17.52_out,-3.1,19.74,19.095,ligand 1.csv
264_uff_e=17.52_out,-3.1,21.245,20.608,ligand 1.csv
323_uff_e=92.26_out,-5.6,0.0,0.0,ligand 1.csv
323_uff_e=92.26_out,-5.6,2.145,1.25,ligand 1.csv
323_uff_e=92.26_out,-5.4,19.309,18.651,ligand 1.csv
323_uff_e=92.26_out,-5.4,19.222,18.744,ligand 1.csv
323_uff_e=92.26_out,-5.3,4.148,2.276,ligand 1.csv
323_uff_e=92.26_out,-5.3,3.081,2.311,ligand 1.csv
323_uff_e=92.26_out,-5.1,2.103,1.586,ligand 1.csv
323_uff_e=92.26_out,-5.0,2.976,1.502,ligand 1.csv
323_uff_e=92.26_out,-5.0,22.707,21.139,ligand 1.csv
325_uff_e=87.15_out,-5.2,0.0,0.0,ligand 1.csv
325_uff_e=87.15_out,-5.1,1.912,0.697,ligand 1.csv
325_uff_e=87.15_out,-5.0,3.647,2.454,ligand 1.csv
325_uff_e=87.15_out,-5.0,4.735,2.579,ligand 1.csv
325_uff_e=87.15_out,-5.0,3.725,2.357,ligand 1.csv
325_uff_e=87.15_out,-4.8,22.197,21.14,ligand 1.csv
325_uff_e=87.15_out,-4.8,22.126,21.16,ligand 1.csv
325_uff_e=87.15_out,-4.8,4.885,3.21,ligand 1.csv
325_uff_e=87.15_out,-4.7,5.376,3.26,ligand 1.csv
326_uff_e=71.07_out,-5.3,0.0,0.0,ligand 1.csv
326_uff_e=71.07_out,-5.2,1.468,0.141,ligand 1.csv
326_uff_e=71.07_out,-4.9,2.802,1.857,ligand 1.csv
326_uff_e=71.07_out,-4.7,4.818,3.301,ligand 1.csv
326_uff_e=71.07_out,-4.7,22.144,21.064,ligand 1.csv
326_uff_e=71.07_out,-4.7,22.096,21.064,ligand 1.csv
326_uff_e=71.07_out,-4.7,3.873,2.512,ligand 1.csv
326_uff_e=71.07_out,-4.6,4.717,2.885,ligand 1.csv
326_uff_e=71.07_out,-4.6,4.559,2.852,ligand 1.csv
370_uff_e=77.54_out,-5.5,0.0,0.0,ligand 1.csv
370_uff_e=77.54_out,-5.5,2.405,0.203,ligand 1.csv
370_uff_e=77.54_out,-5.1,12.091,10.327,ligand 1.csv
370_uff_e=77.54_out,-5.1,11.986,10.265,ligand 1.csv
